City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
380,Ipixuna,BR,-1.7625,-48.8043,297.06,98,79,1.2,broken clouds
381,Dunmore Town,BS,25.5,-76.65,298.67,84,100,10.18,overcast clouds
382,Natagaima,CO,3.6206,-75.0941,304.57,56,28,0.2,light rain
383,Okha,RU,53.5739,142.9478,283.77,70,96,1.78,overcast clouds
384,Lianzhou,CN,24.7811,112.3825,297.18,99,100,0.29,light rain
385,Bredy,RU,52.4153,60.3411,288.89,83,100,7.42,overcast clouds
386,Puerto Madryn,AR,-42.7692,-65.0385,286.27,46,75,2.25,broken clouds
387,Fairbanks,US,64.8378,-147.7164,297.05,26,11,0.45,few clouds
388,Klaksvik,FO,62.2266,-6.589,283.66,92,48,4.27,scattered clouds
389,Skjervoy,NO,70.0311,20.9714,286.15,63,100,10.39,overcast clouds
390,Radomsko,PL,51.0671,19.4448,291.77,92,42,2.33,scattered clouds
391,Namatanai,PG,-3.6667,152.4333,299.76,81,33,3.01,scattered clouds
392,Loralai,PK,30.3705,68.598,297.85,11,0,2.56,clear sky
393,Mehamn,NO,71.0357,27.8492,281.1,61,56,7.57,broken clouds
394,Zharkent,KZ,44.1628,80.0,291.98,49,80,3.09,broken clouds
395,Teya,RU,60.3778,92.6267,279.33,96,100,2.29,light rain
396,Pundaguitan,PH,6.3711,126.1689,301.21,73,30,1.47,scattered clouds
397,Imbituba,BR,-28.24,-48.6703,291.53,99,100,2.96,moderate rain
398,Manturovo,RU,58.3353,44.7619,283.9,97,100,2.51,overcast clouds
399,Devils Lake,US,48.1128,-98.8651,293.21,41,96,4.02,overcast clouds
400,Husavik,IS,66.0449,-17.3389,281.46,65,52,0.7,broken clouds
401,Cervo,ES,43.6702,-7.4101,289.24,84,88,3.75,overcast clouds
402,Sorong,ID,-0.8833,131.25,298.54,84,99,2.2,overcast clouds
403,Coihaique,CL,-45.5752,-72.0662,280.12,57,75,2.06,broken clouds
404,Kangaatsiaq,GL,68.3065,-53.4641,274.08,81,54,5.9,broken clouds
405,Ohafia,NG,5.6167,7.8333,295.65,89,67,1.48,broken clouds
406,Vestmanna,FO,62.1564,-7.1664,282.66,81,49,1.54,scattered clouds
407,Tura,IN,25.5198,90.2201,296.24,97,97,2.12,moderate rain
408,Bambous Virieux,MU,-20.3428,57.7575,294.29,83,20,1.03,few clouds
409,Teeli,RU,51.0333,90.2333,278.97,45,40,0.28,scattered clouds
410,San Jose,US,37.3394,-121.895,302.84,46,20,7.72,few clouds
411,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,287.5,96,100,2.84,overcast clouds
412,Pozo Colorado,PY,-23.4923,-58.7972,291.38,89,99,6.65,overcast clouds
413,Kirovo-Chepetsk,RU,58.5539,50.0399,285.2,89,95,1.45,overcast clouds
414,Niagara Falls,CA,43.1001,-79.0663,300.45,52,100,4.63,overcast clouds
415,Nouadhibou,MR,20.931,-17.0347,294.14,78,78,9.26,sand
416,Noumea,NC,-22.2763,166.4572,295.93,99,34,2.44,scattered clouds
417,Nanortalik,GL,60.1432,-45.2371,277.89,80,100,1.73,overcast clouds
418,Shelburne,CA,44.0787,-80.2041,291.59,77,100,4.79,moderate rain
419,Cayenne,GF,4.9333,-52.3333,299.17,1,75,1.03,broken clouds
420,Visby,SE,57.6409,18.296,287.27,77,100,5.14,overcast clouds
421,Alice Springs,AU,-23.7,133.8833,278.9,100,79,0.0,broken clouds
422,Tambura,SS,5.6,27.4667,293.33,98,100,1.88,light rain
423,Marystown,CA,47.1666,-55.1483,283.84,71,24,4.92,few clouds
424,Mchinji,MW,-13.7984,32.8802,283.65,93,22,2.19,few clouds
425,Gold Coast,AU,-28.0,153.4333,285.93,85,100,1.03,overcast clouds
426,Rorvik,NO,64.8621,11.2373,284.14,87,75,5.66,broken clouds
427,Trojes,AL,41.756,19.962,294.42,77,3,3.29,clear sky
428,Porosozero,RU,62.7191,32.727,280.33,61,5,2.2,clear sky
429,Grants,US,35.1473,-107.8514,304.28,11,0,5.66,clear sky
430,College,US,64.8569,-147.8028,297.04,28,11,1.79,few clouds
431,Galesong,ID,-5.3166,119.3661,297.16,83,100,2.12,overcast clouds
432,Hambantota,LK,6.1241,81.1185,298.55,87,78,6.56,broken clouds
433,Vega De Alatorre,MX,20.0333,-96.6333,304.44,61,77,6.31,broken clouds
434,Port Blair,IN,11.6667,92.75,300.95,78,100,8.4,overcast clouds
435,Solwezi,ZM,-12.1688,26.3894,287.31,57,87,4.04,overcast clouds
436,Tessalit,ML,20.1986,1.0114,305.73,20,12,4.59,few clouds
437,Santos Reyes Nopala,MX,16.1092,-97.1561,302.11,59,85,3.51,overcast clouds
438,Kaihua,CN,23.3687,104.28,292.09,91,100,1.32,overcast clouds
439,Pandamatenga,BW,-18.5278,25.627,286.61,56,94,4.46,overcast clouds
440,Nabire,ID,-3.3667,135.4833,296.59,88,69,1.44,broken clouds
441,Severnyy,RU,50.677,36.5532,289.17,59,0,2.0,clear sky
442,Buenos Aires,AR,-34.6132,-58.3772,288.15,93,100,1.03,fog
443,Dogondoutchi,NE,13.6393,4.0287,305.95,25,92,6.05,overcast clouds
444,Ust-Karsk,RU,52.7011,118.8077,285.52,60,78,0.35,broken clouds
445,Veinticinco De Mayo,AR,-35.4323,-60.1727,287.58,64,1,0.95,clear sky
446,Batticaloa,LK,7.7102,81.6924,299.69,80,95,2.35,overcast clouds
447,Ternate,ID,0.8,127.4,299.46,80,84,1.4,broken clouds
448,Fayaoue,NC,-20.65,166.5333,297.39,74,71,4.86,broken clouds
449,Bitung,ID,1.4451,125.1824,296.62,83,100,2.72,overcast clouds
450,Port Hardy,CA,50.6996,-127.4199,286.25,76,100,5.14,light intensity shower rain
451,Koslan,RU,63.4564,48.8989,283.96,91,71,1.13,broken clouds
452,Cangucu,BR,-31.395,-52.6756,286.71,99,100,2.02,moderate rain
453,Muros,ES,42.7762,-9.0603,290.75,83,99,1.08,overcast clouds
454,Bridlington,GB,54.0831,-0.1919,285.87,78,100,6.89,overcast clouds
455,Villa Sandino,NI,12.0483,-84.9936,302.8,66,100,3.83,overcast clouds
456,Nuuk,GL,64.1835,-51.7216,280.86,52,4,9.39,clear sky
457,Keokuk,US,40.3973,-91.3849,301.44,73,20,2.57,few clouds
458,Inirida,CO,3.8653,-67.9239,301.13,78,69,0.44,broken clouds
459,Kaseda,JP,31.4167,130.3167,292.81,84,42,3.63,scattered clouds
460,Yamada,JP,39.4667,141.95,285.12,99,100,6.24,moderate rain
461,Margate,GB,51.3813,1.3862,287.52,85,99,0.45,overcast clouds
462,Cape Coast,GH,5.1053,-1.2466,299.08,78,83,3.54,broken clouds
463,Nova Olimpia,BR,-14.7972,-57.2881,304.64,35,76,2.27,broken clouds
464,Mackay,AU,-21.15,149.2,294.08,80,100,3.71,overcast clouds
465,Kaspiysk,RU,42.8816,47.6392,296.25,64,40,5.0,scattered clouds
466,Najran,SA,17.4924,44.1277,299.51,15,4,1.38,clear sky
467,La Baneza,ES,42.3003,-5.8977,291.04,65,60,4.19,broken clouds
468,Katsuura,JP,35.1333,140.3,291.16,92,96,6.71,overcast clouds
469,Frolovo,RU,49.7713,43.6622,284.48,82,0,5.02,clear sky
470,Chimoio,MZ,-19.1164,33.4833,287.07,100,75,4.54,drizzle
471,Flin Flon,CA,54.7682,-101.865,292.06,42,75,1.54,broken clouds
472,Kampong Cham,KH,11.9934,105.4635,298.2,88,100,1.46,overcast clouds
473,Larsnes,NO,62.2028,5.5773,287.38,86,13,4.24,few clouds
474,Sandane,NO,61.7728,6.215,288.82,54,0,4.12,clear sky
475,Miandrivazo,MG,-19.5167,45.4667,296.18,70,97,1.31,overcast clouds
476,Turinskaya Sloboda,RU,57.6232,64.3858,285.22,74,96,2.97,overcast clouds
477,Kedrovyy,RU,56.1667,91.8167,278.38,97,92,3.43,overcast clouds
478,Tefe,BR,-3.3542,-64.7114,305.21,58,20,3.09,few clouds
479,Pierre,US,44.3683,-100.351,287.66,82,100,3.6,overcast clouds
480,Diffa,NE,13.3154,12.6113,305.18,27,12,1.85,few clouds
481,Solnechnyy,RU,50.7214,136.6319,289.68,57,15,0.88,few clouds
482,Lapeer,US,43.0514,-83.3188,295.8,88,40,0.0,scattered clouds
483,Constantine,DZ,36.365,6.6147,299.82,41,40,1.54,scattered clouds
484,Ambatondrazaka,MG,-17.8333,48.4167,289.53,92,94,1.84,light rain
485,Tortoli,IT,39.9256,9.6572,296.49,52,1,1.67,clear sky
486,Sitka,US,57.0531,-135.33,286.09,76,100,0.0,overcast clouds
487,Abu Samrah,SY,35.3029,37.1841,293.82,60,0,3.85,clear sky
488,Port Hueneme,US,34.1478,-119.1951,305.1,73,32,1.79,scattered clouds
489,Tamandare,BR,-8.7597,-35.1047,296.98,88,93,5.41,overcast clouds
490,Isoka,ZM,-10.1606,32.6335,287.42,74,75,1.98,broken clouds
491,Valdivia,CL,-39.8142,-73.2459,285.2,94,100,4.66,heavy intensity rain
492,Xichang,CN,27.8964,102.2634,289.62,70,100,1.15,overcast clouds
493,Xuanhua,CN,40.6103,115.0447,287.7,49,22,1.49,few clouds
494,Dvorichna,UA,49.8496,37.6857,286.8,87,5,2.46,clear sky
495,Zhezkazgan,KZ,47.8043,67.7144,294.3,34,26,2.7,scattered clouds
496,Morondava,MG,-20.2833,44.2833,295.13,67,33,3.15,scattered clouds
497,Ancud,CL,-41.8697,-73.8203,282.76,98,100,1.71,moderate rain
498,Mazagao,BR,-0.115,-51.2894,298.84,85,9,1.6,clear sky
499,Toktogul,KG,41.8708,72.9402,288.43,68,1,0.75,clear sky
