City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Fairbanks,US,297.05,few clouds,64.8378,-147.7164,
388,Klaksvik,FO,283.66,scattered clouds,62.2266,-6.589,
389,Skjervoy,NO,286.15,overcast clouds,70.0311,20.9714,
390,Radomsko,PL,291.77,scattered clouds,51.0671,19.4448,
391,Namatanai,PG,299.76,scattered clouds,-3.6667,152.4333,
392,Loralai,PK,297.85,clear sky,30.3705,68.598,
393,Mehamn,NO,281.1,broken clouds,71.0357,27.8492,
394,Zharkent,KZ,291.98,broken clouds,44.1628,80.0,
395,Teya,RU,279.33,light rain,60.3778,92.6267,
397,Imbituba,BR,291.53,moderate rain,-28.24,-48.6703,
398,Manturovo,RU,283.9,overcast clouds,58.3353,44.7619,
399,Devils Lake,US,293.21,overcast clouds,48.1128,-98.8651,
400,Husavik,IS,281.46,broken clouds,66.0449,-17.3389,
401,Cervo,ES,289.24,overcast clouds,43.6702,-7.4101,
402,Sorong,ID,298.54,overcast clouds,-0.8833,131.25,
403,Coihaique,CL,280.12,broken clouds,-45.5752,-72.0662,
404,Kangaatsiaq,GL,274.08,broken clouds,68.3065,-53.4641,
405,Ohafia,NG,295.65,broken clouds,5.6167,7.8333,
406,Vestmanna,FO,282.66,scattered clouds,62.1564,-7.1664,
407,Tura,IN,296.24,moderate rain,25.5198,90.2201,
408,Bambous Virieux,MU,294.29,few clouds,-20.3428,57.7575,
409,Teeli,RU,278.97,scattered clouds,51.0333,90.2333,
411,Presidencia Roque Saenz Pena,AR,287.5,overcast clouds,-26.7852,-60.4388,
412,Pozo Colorado,PY,291.38,overcast clouds,-23.4923,-58.7972,
413,Kirovo-Chepetsk,RU,285.2,overcast clouds,58.5539,50.0399,
415,Nouadhibou,MR,294.14,sand,20.931,-17.0347,
416,Noumea,NC,295.93,scattered clouds,-22.2763,166.4572,
417,Nanortalik,GL,277.89,overcast clouds,60.1432,-45.2371,
418,Shelburne,CA,291.59,moderate rain,44.0787,-80.2041,
419,Cayenne,GF,299.17,broken clouds,4.9333,-52.3333,
420,Visby,SE,287.27,overcast clouds,57.6409,18.296,
421,Alice Springs,AU,278.9,broken clouds,-23.7,133.8833,
422,Tambura,SS,293.33,light rain,5.6,27.4667,
423,Marystown,CA,283.84,few clouds,47.1666,-55.1483,
424,Mchinji,MW,283.65,few clouds,-13.7984,32.8802,
425,Gold Coast,AU,285.93,overcast clouds,-28.0,153.4333,
426,Rorvik,NO,284.14,broken clouds,64.8621,11.2373,
427,Trojes,AL,294.42,clear sky,41.756,19.962,
428,Porosozero,RU,280.33,clear sky,62.7191,32.727,
430,College,US,297.04,few clouds,64.8569,-147.8028,
431,Galesong,ID,297.16,overcast clouds,-5.3166,119.3661,
432,Hambantota,LK,298.55,broken clouds,6.1241,81.1185,
